order_id,customer_id,product_id,order_date,quantity,status
O500000,C101064,P2279,11/28/2023,1,completed
O500001,C100016,P2041,03/31/2023,1,completed
O500002,C100394,P2009,02/14/2023,3,completed
O500003,C101456,P2065,02/01/2023,1,completed
O500004,C101496,P2077,06/17/2023,1,completed
O500005,C100565,P2187,11/25/2023,5,completed
O500006,C101426,P2151,07/11/2023,1,cancelled
O500007,C101406,P2273,02/20/2023,2,completed
O500008,C100795,P2055,08/08/2023,5,returned
O500009,C101022,P2089,10/18/2023,2,completed
O500010,C101133,P2153,06/15/2023,3,completed
O500011,C101428,P2136,07/02/2023,1,completed
O500012,C100000,P2219,06/17/2023,1,completed
O500013,C100257,P2239,01/12/2023,4,completed
O500014,C100871,P2056,07/21/2023,2,completed
O500015,C101185,P2081,12/23/2023,1,returned
O500016,C100255,P2144,09/09/2023,1,completed
O500017,C100176,P2091,12/03/2023,5,returned
O500018,C101180,P2296,01/29/2023,3,completed
O500019,C100434,P2290,12/10/2023,1,completed
O500020,C101114,P2231,07/06/2023,1,returned
O500021,C100674,P2158,05/07/2023,2,completed
O500022,C101171,P2095,04/20/2023,5,completed
O500023,C100463,P2133,11/13/2023,2,completed
O500024,C101428,P2021,09/05/2023,4,completed
O500025,C100224,P2165,03/21/2023,3,completed
O500026,C101276,P2005,12/15/2023,4,completed
O500027,C101393,P2086,11/17/2023,3,completed
O500028,C101221,P2171,11/04/2023,1,completed
O500029,C100362,P2124,02/12/2023,5,returned
O500030,C100453,P2231,05/07/2023,1,completed
O500031,C101178,P2099,03/17/2023,4,completed
O500032,C100577,P2095,05/20/2023,2,completed
O500033,C100470,P2155,07/22/2023,5,completed
O500034,C100787,P2130,08/06/2023,4,completed
O500035,C100744,P2052,12/07/2023,3,completed
O500036,C100505,P2190,05/31/2023,1,completed
O500037,C101222,P2044,09/28/2023,1,completed
O500038,C101358,P2099,08/22/2023,3,cancelled
O500039,C101200,P2124,09/13/2023,4,completed
O500040,C101230,P2191,01/30/2023,3,completed
O500041,C100424,P2082,03/12/2023,5,completed
O500042,C101147,P2213,05/01/2023,5,completed
O500043,C100026,P2020,03/07/2023,3,completed
O500044,C101044,P2277,01/03/2023,2,completed
O500045,C100328,P2147,06/27/2023,1,completed
O500046,C100904,P2068,08/02/2023,3,completed
O500047,C101022,P2291,06/04/2023,5,completed
O500048,C101313,P2262,02/26/2023,1,cancelled
O500049,C100776,P2054,11/07/2023,4,completed
O500050,C101159,P2282,01/04/2023,1,completed
O500051,C101171,P2142,05/18/2023,1,cancelled
O500052,C100432,P2080,08/09/2023,1,completed
O500053,C100552,P2162,08/07/2023,1,completed
O500054,C101138,P2015,09/19/2023,2,completed
O500055,C101309,P2001,09/12/2023,3,completed
O500056,C100704,P2041,04/26/2023,4,completed
O500057,C101480,P2206,08/04/2023,5,completed
O500058,C100350,P2062,04/18/2023,4,completed
O500059,C100763,P2261,10/20/2023,4,completed
O500060,C100037,P2145,05/31/2023,4,completed
O500061,C100184,P2185,03/23/2023,1,completed
O500062,C100409,P2056,03/29/2023,4,completed
O500063,C100013,P2069,02/27/2023,5,completed
O500064,C101316,P2233,08/17/2023,4,completed
O500065,C101102,P2099,11/26/2023,1,completed
O500066,C100182,P2175,06/24/2023,2,completed
O500067,C101106,P2269,11/03/2023,3,cancelled
O500068,C100441,P2269,12/27/2023,4,completed
O500069,C100719,P2254,04/12/2023,3,cancelled
O500070,C100111,P2277,03/08/2023,1,completed
O500071,C100642,P2156,01/10/2023,5,completed
O500072,C100475,P2252,09/08/2023,2,completed
O500073,C100584,P2111,01/02/2023,2,completed
O500074,C100259,P2299,01/11/2023,4,completed
O500075,C101166,P2229,08/07/2023,5,returned
O500076,C100269,P2064,10/09/2023,2,completed
O500077,C100176,P2015,07/30/2023,1,completed
O500078,C101122,P2131,12/10/2023,4,completed
O500079,C100647,P2147,10/29/2023,5,completed
O500080,C100133,P9999,06/27/2023,1,returned
O500081,C100269,P2022,06/30/2023,3,cancelled
O500082,C100817,P2294,10/28/2023,3,completed
O500083,C101025,P2198,04/02/2023,5,completed
