product_id,product_name,category,unit_price
P2000,Product 0,Sports,166.76
P2001,Product 1,Apparel,495.37
P2002,Product 2,Electronics,297.58
P2003,Product 3,Grocery,267.49
P2004,Product 4,Sports,194.39
P2005,Product 5,Toys,379.77
P2006,Product 6,Grocery,268.23
P2007,Product 7,Home,435.56
P2008,Product 8,Home,159.14
P2009,Product 9,Electronics,213.36
P2010,Product 10,Grocery,384.18
P2011,Product 11,Toys,20.34
P2012,Product 12,Apparel,337.09
P2013,Product 13,Apparel,191.7
P2014,Product 14,Home,147.88
P2015,Product 15,Toys,348.97
P2016,Product 16,Grocery,308.55
P2017,Product 17,Grocery,431.13
P2018,Product 18,Apparel,159.2
P2019,Product 19,Grocery,205.79
P2020,Product 20,Sports,489.19
P2021,Product 21,Apparel,61.27
P2022,Product 22,Electronics,192.9
P2023,Product 23,Apparel,161.87
P2024,Product 24,Grocery,190.08
P2025,Product 25,Toys,274.15
P2026,Product 26,Apparel,232.31
P2027,Product 27,Electronics,428.06
P2028,Product 28,Apparel,374.53
P2029,Product 29,Sports,183.29
P2030,Product 30,Home,304.74
P2031,Product 31,Toys,148.33
P2032,Product 32,Home,175.33
P2033,Product 33,Grocery,484.94
P2034,Product 34,Home,169.65
P2035,Product 35,Grocery,116.87
P2036,Product 36,Home,3.24
P2037,Product 37,Grocery,247.32
P2038,Product 38,Apparel,156.42
P2039,Product 39,Home,199.56
P2040,Product 40,Apparel,412.66
P2041,Product 41,Sports,29.79
P2042,Product 42,Home,301.92
P2043,Product 43,Sports,467.08
P2044,Product 44,Sports,499.83
P2045,Product 45,Apparel,273.14
P2046,Product 46,Sports,6.65
P2047,Product 47,Apparel,158.34
P2048,Product 48,Electronics,397.75
P2049,Product 49,Home,175.67
P2050,Product 50,Home,467.39
P2051,Product 51,Apparel,101.59
P2052,Product 52,Home,124.64
P2053,Product 53,Grocery,6.37
P2054,Product 54,Sports,349.0
P2055,Product 55,Home,442.18
P2056,Product 56,Apparel,491.12
P2057,Product 57,Grocery,58.06
P2058,Product 58,Sports,27.22
P2059,Product 59,Electronics,228.92
P2060,Product 60,Toys,316.48
P2061,Product 61,Home,160.36
P2062,Product 62,Home,427.41
P2063,Product 63,Electronics,114.63
P2064,Product 64,Toys,152.45
P2065,Product 65,Grocery,150.21
P2066,Product 66,Apparel,428.51
P2067,Product 67,Electronics,292.0
P2068,Product 68,Sports,73.02
P2069,Product 69,Sports,356.77
P2070,Product 70,Home,192.24
P2071,Product 71,Sports,72.99
P2072,Product 72,Electronics,300.91
P2073,Product 73,Toys,214.55
P2074,Product 74,Grocery,145.71
P2075,Product 75,Home,452.11
P2076,Product 76,Electronics,396.58
P2077,Product 77,Electronics,256.7
P2078,Product 78,Sports,388.53
P2079,Product 79,Home,466.3
P2080,Product 80,Sports,396.74
P2081,Product 81,Apparel,495.44
P2082,Product 82,Electronics,189.88
P2083,Product 83,Home,395.85
P2084,Product 84,Toys,172.27
P2085,Product 85,Grocery,173.96
P2086,Product 86,Electronics,143.85
P2087,Product 87,Sports,345.72
P2088,Product 88,Apparel,152.19
P2089,Product 89,Apparel,395.52
P2090,Product 90,Grocery,167.05
P2091,Product 91,Sports,344.73
P2092,Product 92,Electronics,62.2
P2093,Product 93,Grocery,313.13
P2094,Product 94,Electronics,67.1
P2095,Product 95,Sports,58.01
P2096,Product 96,Toys,95.94
P2097,Product 97,Electronics,279.26
P2098,Product 98,Electronics,73.48
P2099,Product 99,Apparel,455.95
P2100,Product 100,Sports,422.16
P2101,Product 101,Grocery,390.56
P2102,Product 102,Sports,291.97
P2103,Product 103,Home,430.96
P2104,Product 104,Toys,497.09
P2105,Product 105,Home,255.58
P2106,Product 106,Toys,419.83
P2107,Product 107,Electronics,248.03
P2108,Product 108,Apparel,492.7
P2109,Product 109,Home,379.6
P2110,Product 110,Sports,305.59
P2111,Product 111,Grocery,481.21
P2112,Product 112,Apparel,467.0
P2113,Product 113,Apparel,368.49
P2114,Product 114,Grocery,274.54
P2115,Product 115,Toys,338.36
P2116,Product 116,Toys,123.38
P2117,Product 117,Sports,106.61
P2118,Product 118,Apparel,44.01
P2119,Product 119,Electronics,403.33
P2120,Product 120,Sports,191.25
P2121,Product 121,Grocery,222.99
P2122,Product 122,Toys,333.01
P2123,Product 123,Electronics,20.7
P2124,Product 124,Grocery,61.29
P2125,Product 125,Apparel,460.43
P2126,Product 126,Toys,304.91
P2127,Product 127,Toys,24.9
P2128,Product 128,Apparel,274.98
P2129,Product 129,Electronics,301.24
P2130,Product 130,Apparel,130.39
P2131,Product 131,Home,384.98
P2132,Product 132,Home,384.08
P2133,Product 133,Apparel,256.09
P2134,Product 134,Toys,498.97
P2135,Product 135,Electronics,183.34
P2136,Product 136,Sports,267.57
P2137,Product 137,Electronics,42.31
P2138,Product 138,Grocery,90.92
P2139,Product 139,Home,45.56
P2140,Product 140,Toys,313.27
P2141,Product 141,Electronics,303.98
P2142,Product 142,Grocery,273.16
P2143,Product 143,Apparel,336.13
P2144,Product 144,Toys,52.21
P2145,Product 145,Grocery,5.15
P2146,Product 146,Sports,51.38
P2147,Product 147,Home,304.25
P2148,Product 148,Apparel,218.19
P2149,Product 149,Grocery,426.01
P2150,Product 150,Apparel,348.21
P2151,Product 151,Toys,168.82
P2152,Product 152,Home,204.47
P2153,Product 153,Toys,201.04
P2154,Product 154,Home,180.81
P2155,Product 155,Toys,114.33
P2156,Product 156,Electronics,265.82
P2157,Product 157,Grocery,118.13
P2158,Product 158,Home,342.63
P2159,Product 159,Toys,6.71
P2160,Product 160,Sports,477.75
P2161,Product 161,Electronics,324.15
P2162,Product 162,Electronics,177.21
P2163,Product 163,Toys,175.09
P2164,Product 164,Grocery,488.57
P2165,Product 165,Apparel,474.25
P2166,Product 166,Electronics,383.52
P2167,Product 167,Home,40.11
P2168,Product 168,Toys,73.44
P2169,Product 169,Sports,63.91
P2170,Product 170,Grocery,179.69
P2171,Product 171,Toys,16.98
P2172,Product 172,Electronics,312.79
P2173,Product 173,Grocery,405.21
P2174,Product 174,Sports,215.85
P2175,Product 175,Sports,197.73
P2176,Product 176,Apparel,147.09
P2177,Product 177,Home,69.89
P2178,Product 178,Sports,340.63
P2179,Product 179,Apparel,173.24
P2180,Product 180,Electronics,179.6
P2181,Product 181,Grocery,64.05
P2182,Product 182,Home,114.66
P2183,Product 183,Grocery,431.8
P2184,Product 184,Grocery,419.29
P2185,Product 185,Apparel,79.16
P2186,Product 186,Electronics,208.8
P2187,Product 187,Sports,421.69
P2188,Product 188,Home,83.2
P2189,Product 189,Apparel,187.81
P2190,Product 190,Toys,376.65
P2191,Product 191,Home,447.94
P2192,Product 192,Grocery,488.37
P2193,Product 193,Apparel,111.95
P2194,Product 194,Home,184.4
P2195,Product 195,Toys,409.66
P2196,Product 196,Electronics,339.96
P2197,Product 197,Sports,352.18
P2198,Product 198,Apparel,56.65
P2199,Product 199,Home,57.45
P2200,Product 200,Sports,27.22
P2201,Product 201,Electronics,200.86
P2202,Product 202,Electronics,95.92
P2203,Product 203,Sports,235.46
P2204,Product 204,Apparel,204.75
P2205,Product 205,Grocery,359.27
P2206,Product 206,Grocery,449.01
P2207,Product 207,Sports,375.28
P2208,Product 208,Grocery,377.81
P2209,Product 209,Grocery,400.22
P2210,Product 210,Grocery,224.83
P2211,Product 211,Electronics,492.23
P2212,Product 212,Apparel,164.34
P2213,Product 213,Sports,152.33
P2214,Product 214,Grocery,169.52
P2215,Product 215,Electronics,174.54
P2216,Product 216,Electronics,451.62
P2217,Product 217,Electronics,373.95
P2218,Product 218,Sports,464.77
P2219,Product 219,Toys,341.31
P2220,Product 220,Toys,71.08
P2221,Product 221,Grocery,168.63
P2222,Product 222,Toys,163.19
P2223,Product 223,Sports,365.01
P2224,Product 224,Electronics,487.31
P2225,Product 225,Home,447.91
P2226,Product 226,Apparel,392.6
P2227,Product 227,Grocery,276.28
P2228,Product 228,Grocery,149.58
P2229,Product 229,Home,181.52
P2230,Product 230,Apparel,234.63
P2231,Product 231,Electronics,42.2
P2232,Product 232,Home,157.81
P2233,Product 233,Toys,213.63
P2234,Product 234,Electronics,170.26
P2235,Product 235,Home,194.53
P2236,Product 236,Home,163.52
P2237,Product 237,Sports,246.36
P2238,Product 238,Apparel,364.38
P2239,Product 239,Home,187.57
P2240,Product 240,Electronics,226.37
P2241,Product 241,Apparel,54.63
P2242,Product 242,Sports,35.17
P2243,Product 243,Home,319.86
P2244,Product 244,Grocery,401.03
P2245,Product 245,Grocery,304.02
P2246,Product 246,Electronics,138.37
P2247,Product 247,Electronics,264.29
P2248,Product 248,Toys,181.89
P2249,Product 249,Apparel,64.35
P2250,Product 250,Home,201.37
P2251,Product 251,Sports,65.85
P2252,Product 252,Apparel,190.71
P2253,Product 253,Grocery,441.8
P2254,Product 254,Home,305.95
P2255,Product 255,Electronics,6.31
P2256,Product 256,Electronics,402.09
P2257,Product 257,Grocery,314.34
P2258,Product 258,Home,482.86
P2259,Product 259,Electronics,409.46
P2260,Product 260,Grocery,37.63
P2261,Product 261,Toys,313.02
P2262,Product 262,Electronics,265.94
P2263,Product 263,Home,411.56
P2264,Product 264,Electronics,284.37
P2265,Product 265,Apparel,428.11
P2266,Product 266,Apparel,485.1
P2267,Product 267,Grocery,367.01
P2268,Product 268,Toys,239.25
P2269,Product 269,Apparel,261.01
P2270,Product 270,Electronics,175.73
P2271,Product 271,Apparel,125.31
P2272,Product 272,Sports,325.34
P2273,Product 273,Home,302.45
P2274,Product 274,Apparel,249.32
P2275,Product 275,Toys,196.38
P2276,Product 276,Grocery,428.17
P2277,Product 277,Sports,72.95
P2278,Product 278,Grocery,153.92
P2279,Product 279,Electronics,424.77
P2280,Product 280,Sports,138.45
P2281,Product 281,Apparel,109.1
P2282,Product 282,Electronics,125.99
P2283,Product 283,Sports,108.32
P2284,Product 284,Grocery,372.34
P2285,Product 285,Apparel,73.3
P2286,Product 286,Home,195.05
P2287,Product 287,Apparel,380.89
P2288,Product 288,Home,497.16
P2289,Product 289,Grocery,194.75
P2290,Product 290,Apparel,30.68
P2291,Product 291,Grocery,59.62
P2292,Product 292,Sports,154.69
P2293,Product 293,Home,496.37
P2294,Product 294,Sports,216.27
P2295,Product 295,Home,107.37
P2296,Product 296,Apparel,167.67
P2297,Product 297,Grocery,365.85
P2298,Product 298,Sports,221.13
P2299,Product 299,Electronics,135.52
P2005,Product 5,Toys,379.77
